"00TKCA60M5C","TKC_A60_M5C"
"00TKCA63M5C","A63_M5C"
"00TKCA85V4M5CI","A85_M5C"
"00TKCTECH1Q8M","TECH1_7_Q8M"
"00TKS603BR4T9_CHI","C600_M10C"
"08AK050THYB3HS333B22","50V HYB3 射速333mm/S"
"08AK070THYB3H01","電液混合式注塑機控制系統hyb3"
"08AK070THYB3HS333B25","70V HYB3 射速333mm/S"
"08AK070THYB3HS333B25_1","70V HYB3 射速333mm/S 不含輪子"
"08AS200THYB3HS400B40100L","AS 200T射速 400mm/s 螺杆40"
"08AS350THYB3HS400B55300L","AS 350T射速 400mm/s 螺杆55"
"08AS520THYB3HS400B65300L","AS 520THYB3"
"08AS520THYB3HS450B55300L","AS 520T 射速450mm/s  螺杆55"
"08CM280THYB3HS300B50200L","280T HYB3 射速300mm/s  螺杆50"
"08CM280THYB3HS500B45200L","油電機控制系統hyb3"
"08CM380THYB3HS300B55250L","射速300mm/s  螺杆55"
"08CM380THYB3HS300B55250L_1","射速300mm/s  螺杆55"
"08CM380THYB3HS300B55250L_2","PD380射速300mm/s  螺杆55"
"08CM380THYB3HS500B55250L","油電機控制系統hyb3"
"08CM600THYB3HS500B65400L","油電機控制系統hyb3"
"08FT080THYB3SD333B25","油電機控制系統hyb3"
"08GS168THYB3HS300B78L","GS180T HYB3"
"08HD170THYB3HS350B36110L","海達170THYB3"
"08HD360THYB3HS330B50","HD360T  HYB3 不含油壓配300L"
"08HD360THYB3HS330B50_1","HD360T  HYB3 不含油壓配386L"
"08HD360THYB3HS330B50300L","HD360T  HYB3"
"08HD360THYB3HS330B50386L","HD360T  HYB3"
"08HG208THYB3HS350B50120L","208T射速 350mm/s 螺杆50"
"08HX200THYB4HS350B45","海星200E HYB4"
"08KJ130THYB4HS500B28","科駿130T HYB4"
"08KJ300THYB2HS500B24","科駿HYB2 射速500mm/s螺杆24"
"08LJ180THYB3SD200B40","油電複合式注塑機控制系統hyb3"
"08PB100THYB3SD200B40","磐石100T矽膠機"
"08SD080THYB3HS350B2262L","泓利80T HYB3"
"08ST120THYB3HS350B3280L","HYB3 120T射速 350mm/s 螺杆32"
"08ST120THYB4HS350B32","HYB4 120T射速 350mm/s 螺杆32"
"08WE050THYB4HS200B55","維達 50T射速 200mm/s 螺杆55"
"0HTC7000M12M6665D","C7000-M12M  雙色西門子轉盤機"
"0HTC7000M12M6665D1","C7000-M12M  雙色西門子轉盤機"
"0HTC7000M12M6665VD","C7000-M12M 立式雙色機"
"0HTPLT3AM8M71335","PILOT3A_5_M8M"
"1ACC_A60_BX","A60零件包"
"1ACC_AK628_BX","4個突波吸收器"
"1ACC_AK668_BX","AK668 & ACCESSORY"
"1ACC_AK668_HT","AK668 & ACCESSORY HT"
"1ACC_AK668_HT_1","AK668 & ACCESSORY HT"
"1ACC_BMHT001","海天金屬面膜包"
"1ACC_EQI1331_L040","編碼器/EQI 1331 + 編碼器線/0.4m"
"1ACC_EQN1325_L040","編碼器/EQN 1325 + 編碼器線/0.4m"
"1ACC_FTL_12","3ZSQ21150TFL_1*12"
"1ACC_FTL_4","3ZSQ21150TFL_1*4"
"1ACC_FTL_5","3ZSQ21150TFL_1*5"
"1ACC_FTL_6","3ZSQ21150TFL_1*6"
"1ACC_FTL_8","3ZSQ21150TFL_1*8"
"1ACC_FTL_9","3ZSQ21150TFL_1*9"
"1ACC_HTP3360_WX","HT一體式 塑殼3360 維修更換零件包"
"1ACC_LED_I300TR","I300液晶+鐵板"
"1ACC_PNHT001","海天3160前後鈑金+面膜+壓克力"
"1ACC_PNL_AS","AS  PNL ACCESSORY"
"1ACC_PNL_HT","HT PNL ACCESSORY 1A2B"
"1ACC_PNL_HT_C","HT(C )PNL ACCESSORY"
"1ACC_PNL_HTA","HT(C ) Q7  PNL ACCESSORY"
"1ACC_PNL_HTP12","零件包(3MSE4008B*8)"
"1ACC_PNL_TMA","急停鍵區零件包"
"1ACC_PNL_TMA_1","急停鍵區零件包（兩種棋型端子）"
"1ACC_PNL_TMP","TMP_PNL ACCESSORY"
"1ACC_PNL_TMP_12A","零件包"
"1ACC_PNL_TMP_A","TMP_PNL ACCESSORY"
"1ACC_RFID_RS232","RFID感應模組"
"1ACC_RFID_RS232T","RFID感應模組"
"1ACC_RFID_RS232T_1","RFID感應模組"
"1ACC_RFID_RS232TG","外掛式RFID感應模組"
"1ACC_RFID_USB","外掛式RFID"
"1ACC_SANDAL5","SANDAL5/HYB5/RMTP12_O螺絲包"
"1ACC_TECH1_BX","5個"
"1ACC_ZJ_BX","零件包"
"1ACC_ZJ_BX_1","零件包"
"1ACC2386_HT2647","ht2647 2386 change case"
"1AX_HYB5_EC","HYB5+EC 鋁殼 軸卡"
"1AX_RMTP12_O","RMTP12度控制器 (鋁殼 立式安裝)"
"1AX_RMTP16B_O","RMTP16B_O"
"1AX_TMIOT_I101(T1)","tmIoT-i101  PB濾波"
"1AX_TMIOT_I101_A6","TMIOT_I101  AD*6改0-20mA"
"1AX_TMIOT_I106B","TMIOT_I106B"
"1AX_TMIOT_I202","TMIOT_I202"
"1BA_MCP2Y01_01_XA","M2C_2132"
"1BA_N2N_2121","tmIoT Gateway EtherNET to EtherNET"
"1BA_PCP3N02_01_XA","IO2C_1111"
"1BA_PCP3N03_01_XA","IO2C_1112"
"1BA_PCP3Y04_01_XA","IO2C_1131"
"1BA_SCP3N05_01_XA","S2C_4111"
"1BA_SWGI1D1_01_TM","智能開關"
"1BA_SWGI1L1_01_TM"," 弘訊單控智能燈光開關"
"1BA_SWGI1L2_01_TM","弘訊雙控智能燈光開關"
"1BA_SWGL1L1_02_XA","單路智能開關 白色"
"1BA_SWGL1L2_02_XA","雙路智能開關 白色"
"1BA_SWGO1C2_01_TM"," 弘訊雙控智能窗簾開關"
"1BA_SWGO1L1_01_TM","弘訊單控智能燈光開關"
"1BA_SWGO1L2_01_TM","智能開關"
"1BBX_303BT7OAN","CPU05,IO03B,AD03A,DT"
"1BDTEMPRLY7B","繼電器板"
"1BIEX37HS","輸入輸出板"
"1BIEX48HS","EX48H 180 DEGREE"
"1BOVIO32C","輸出板"
"1BOVIO48H","輸出板"
"1BP_A2V","A轉V板"
"1BP_A62_CPUE","A62 CPUE"
"1BP_A62_CPUEV","壓力流量為0-10V"
"1BP_A80_CPUA","A80 CPUA"
"1BP_AK618_N_V3","AK618_N_V3"
"1BP_AK618H","AK618H"
"1BP_AK628H_A","AK628"
"1BP_AK628H_AT","AK628 920度"
"1BP_AK668_CPUA","AK668 CPUA"
"1BP_AK668E_CPU","AK668E CPU"
"1BP_AK668H_CPU","AK668M3"
"1BP_AK668H_CPU_X5","AK668H_X5 P4,F4 +-10V"
"1BP_AK668N_CPU","AK668CPU"
"1BP_AK668NE_CPU","AK668M1_2 CPU"
"1BP_AMCDSP","AMCDSP"
"1BP_AMCSDSP","AMCSDSP"
"1BP_DCS_AD03G","位置尺G板 烘烤OK"
"1BP_DCS_AD04E","DCSADEM2 烘烤 OK"
"1BP_DCS_AD04G","位置尺板AD04G"
"1BP_DCS_KJAD03G","DCSKJAD03"
"1BP_DGHT_DTU_1","DGHT_DTU_1"
"1BP_EXDIO88_A","EXDIO88M1"
"1BP_EXDIO88R_A","EXDIO88R_A"
"1BP_HMI3354M1","HMI3354 VER03"
"1BP_HMI3354M2","HMI3354M2"
"1BP_HMI3354M2_1","HMI3354M2_1"
"1BP_HMI3354M2_P","HMI3354M2 塑殼用"
"1BP_HUNTER_CPU","iDriver600-ZK"
"1BP_INT_LCV07","LCD NAYA COLOR 7.4"""
"1BP_INT2_07ANC","LCD NAYA COLOR7.4""自"
"1BP_INT2_08BMT_HT","M8C驅動板NEW"
"1BP_INT2_10BST","M10C驅動板NEW"
"1BP_INT2_10BST_HT","CNV12TFM8 HT USESHARP DG52"
"1BP_KS_BH2428K","BH2428K 璧厚按鍵板"
"1BP_KS_HD2647S","HD M6C 2647K KEY SW"
"1BP_KS_HT21471G","HT21471G KEY SW PCB"
"1BP_KS_HT240","HT24551 PCB"
"1BP_KS_HT260","HT2647K PCB"
"1BP_KS_HT260S","HT2647K PCB I5C"
"1BP_KS_HT260S8","按鍵電路板"
"1BP_KS_HT330","HT33601"
"1BP_KS_HT330D","HT3360PD"
"1BP_KS_HT330S","HT3360KM1 3386 USE"
"1BP_KS_HT3360DS","HT33603D4-1"
"1BP_KS_HTP3360S","HTP3360S_KEY_SW_PCB"
"1BP_KS_LL2440","藍力新2440擠出機"
"1BP_KS_TM2138K","TM2138K"
"1BP_KS_TM2138S","TM 2138S"
"1BP_KS_TM21473J","TM21473J KEY SW.PCB"
"1BP_KS_TM21473JF","TM21473J KEY SW.PCB"
"1BP_KS_TM2338KM1","TM2338KM1 KEY SW PCB"
"1BP_KS_TM240","按鍵板"
"1BP_KS_TM2440Z","TM2440Z 注吹機"
"1BP_KS_TM2647A","TM2647k KEY SW. PCB"
"1BP_KS_TM2655S","M8C按鍵板"
"1BP_KS_TM3160KM1","TM3160KM1 KEY SW. PCB"
"1BP_KS_TM3255S","TM3255S"
"1BP_KS_TM3355","TM3355"
"1BP_KS_TM3355K_G","TM3355K_G"
"1BP_KS_TM3355K_S","TM3355K_S"
"1BP_KS_TM3355OP_G","KS_TM3355OP_G"
"1BP_KS_TM3355OP_S","TM3355OP"
"1BP_KS_TM3360KM1","3360km1"
"1BP_KS_WE2440","WE2440按鍵板"
"1BP_LCD85_AUO","AUO 8.5""適配卡"
"1BP_LCVLEB18A_GD","7""FG0700用界面卡"
"1BP_LCVLEB18B_CHI","LCVLEB18M5 CHI Q7"
"1BP_LVD18M1_CHI","12"" 奇美 用適配卡"
"1BP_LVD18M2_C12","CHI 12.1"" 介面卡"
"1BP_M4KEY_Q12","M4KEY_Q12"
"1BP_MCB82_01","M2C_2132"
"1BP_MLTP12_O","MLTP12_O"
"1BP_MMC","MMC"
"1BP_MMI_2386A","MMI2386M3 FLOOPY&TFT"
"1BP_MMI_2386AI","MMI2386A +FLOPPY+I_NET"
