DBID,FTYID,FTYName,V,DBID,,,
379,7HS,海宁华塑,7HS-海宁华塑,379,,,
380,7HT,海天,7HT-海天,380,,,
381,7HW,海太,7HW-海太,381,,,
382,7HX,海星,7HX-海星,382,,,
383,7HY,福州海燕,7HY-福州海燕,383,,,
384,7IG,香港怡光,7IG-香港怡光,384,,,
385,7IM,章月清,7IM-章月清,385,,,
386,7JD,江达,7JD-江达,386,,,
387,7JH,韩国进和,7JH-韩国进和,387,,,
388,7JM,奇明,7JM-奇明,388,,,
389,,明震,-明震,389,,,
390,7JO,USACOASTAL,7JO-USACOASTAL,390,,,
391,7JS,嘉信,7JS-嘉信,391,,,
392,7JT,杰腾,7JT-杰腾,392,,,
393,7JW,嘉伟,7JW-嘉伟,393,,,
394,7JY,纪元,7JY-纪元,394,,,
395,7LD,晋江力达,7LD-晋江力达,395,,,
396,7LF,柳州力风,7LF-柳州力风,396,,,
397,7LG,利广,7LG-利广,397,,,
398,7LH,龙汇,7LH-龙汇,398,,,
399,7LI,汇利,7LI-汇利,399,,,
400,7LK,力劲,7LK-力劲,400,,,
401,7LS,柳州塑料,7LS-柳州塑料,401,,,
402,7LU,成路双马,7LU-成路双马,402,,,
403,,,-,403,,,
404,7LV,广州利文,7LV-广州利文,404,,,
405,7LY,香港利源,7LY-香港利源,405,,,
406,7MH,明和柳塑,7MH-明和柳塑,406,,,
407,7MS,江南模塑,7MS-江南模塑,407,,,
408,7YW,耀威,7YW-耀威,408,,,
409,7NK,恩港恒生,7NK-恩港恒生,409,,,
410,7NT,澳洲NEWTECH,7NT-澳洲NEWTECH,410,,,
411,7OJ,温州瓯江,7OJ-温州瓯江,411,,,
412,7OM,百冠,7OM-百冠,412,,,
413,7OY,杭州欧亚,7OY-杭州欧亚,413,,,
414,7PY,香港宝源,7PY-香港宝源,414,,,
415,7QF,柳州奇峰,7QF-柳州奇峰,415,,,
416,7RS,容声(华联),7RS-容声(华联),416,,,
417,7RY,香港隆源,7RY-香港隆源,417,,,
418,7SA,湖北福星,7SA-湖北福星,418,,,
419,7SB,温州圣邦,7SB-温州圣邦,419,,,
420,7SD,泓利,7SD-泓利,420,,,
421,7SG,宁波三友,7SG-宁波三友,421,,,
422,7SH,声凯,7SH-声凯,422,,,
423,7SK,广州华新科,7SK-广州华新科,423,,,
424,7SL,舜力-郭力生,7SL-舜力-郭力生,424,,,
425,7SN,常州赛恩,7SN-常州赛恩,425,,,
426,7SX,顺兴,7SX-顺兴,426,,,
427,7SY,三元,7SY-三元,427,,,
428,7TD,宁波总厂,7TD-宁波总厂,428,,,
429,7TE,香港科技,7TE-香港科技,429,,,
430,7TF,特佳,7TF-特佳,430,,,
431,7TG,天津塑料,7TG-天津塑料,431,,,
432,7TH,无锡天惠,7TH-无锡天惠,432,,,
433,7TO,宁波海通,7TO-宁波海通,433,,,
434,7TR,泰瑞,7TR-泰瑞,434,,,
435,7TT,北京泰坦,7TT-北京泰坦,435,,,
436,7TU,通用,7TU-通用,436,,,
437,7TY,东莞大禹,7TY-东莞大禹,437,,,
438,,杭州大禹,-杭州大禹,438,,,
439,7TZ,太原天章,7TZ-太原天章,439,,,
440,7UJ,甬江,7UJ-甬江,440,,,
441,7KF,科鲁迪,7KF-科鲁迪,441,,,
442,7UN,怡泰利,7UN-怡泰利,442,,,
443,7VN,香港永胜,7VN-香港永胜,443,,,
444,7WD,华达,7WD-华达,444,,,
445,7WH,无锡华鸿,7WH-无锡华鸿,445,,,
446,7WL,维联,7WL-维联,446,,,
447,7WS,华雄,7WS-华雄,447,,,
448,7XG,北京信冠,7XG-北京信冠,448,,,
449,7YC,东莞盈成,7YC-东莞盈成,449,,,
450,7YH,仁兴,7YH-仁兴,450,,,
451,7YJ,甬江,7YJ-甬江,451,,,
452,7YK,业勤,7YK-业勤,452,,,
453,7YO,香港友和,7YO-香港友和,453,,,
454,7YP,余姚塑料,7YP-余姚塑料,454,,,
455,7YU,余姚华泰,7YU-余姚华泰,455,,,
456,7ZH,振华,7ZH-振华,456,,,
457,7ZT,申达,7ZT-申达,457,,,
458,7BX,宁波博信,7BX-宁波博信,458,,,
459,7HF,宁波赫仕,7HF-宁波赫仕,459,,,
460,7HN,宁波海鹰,7HN-宁波海鹰,460,,,
461,7ZY,震甬,7ZY-震甬,461,,,
462,7YL,亚力士,7YL-亚力士,462,,,
463,7HP,海光,7HP-海光,463,,,
464,7HQ,华磊复力,7HQ-华磊复力,464,,,
465,7OD,奥德,7OD-奥德,465,,,
466,7SS,宁波三顺,7SS-宁波三顺,466,,,
467,7JA,坚达,7JA-坚达,467,,,
468,7RE,REGLER,7RE-REGLER,468,,,
469,7AK,杭州爱科,7AK-杭州爱科,469,,,
470,7KS,科仕特,7KS-科仕特,470,,,
471,7JB,广东俊华,7JB-广东俊华,471,,,
472,7MK,"MILANKALA
","7MK-MILANKALA
",472,,,
473,7GS,宁波格士力,7GS-宁波格士力,473,,,
474,7XD,杭州新登,7XD-杭州新登,474,,,
475,7BZ,杭州霸洲,7BZ-杭州霸洲,475,,,
476,7JL,杭州捷立,7JL-杭州捷立,476,,,
477,7ZA,广东赞扬,7ZA-广东赞扬,477,,,
478,7BS,广东必胜达,7BS-广东必胜达,478,,,
479,7ZB,东莞中泰,7ZB-东莞中泰,479,,,
480,7SF,SFCE,7SF-SFCE,480,,,
481,7CB,昌盛达,7CB-昌盛达,481,,,
482,7ZJ,珠海震捷,7ZJ-珠海震捷,482,,,
483,7JC,上海金纬,7JC-上海金纬,483,,,
484,7JJ,捷劲,7JJ-捷劲,484,,,
485,7JE,金天机,7JE-金天机,485,,,
486,7QH,骐合,7QH-骐合,486,,,
487,7XT,雄泰,7XT-雄泰,487,,,
488,7SZ,神舟(张家港）,7SZ-神舟(张家港）,488,,,
489,7YT,舟山永泰,7YT-舟山永泰,489,,,
490,7AY,杭州中亚,7AY-杭州中亚,490,,,
491,7WT,威腾,7WT-威腾,491,,,
492,7QP,千普,7QP-千普,492,,,
493,7DY,台意德,7DY-台意德,493,,,
494,7YS,银山,7YS-银山,494,,,
495,7NG,余姚朗格,7NG-余姚朗格,495,,,
496,7JG,黄岩巨光,7JG-黄岩巨光,496,,,
497,7HU,宁波恒达,7HU-宁波恒达,497,,,
498,7KL,台州科力,7KL-台州科力,498,,,
499,7DS,宁波森煌,7DS-宁波森煌,499,,,
500,7JZ,奉化嘉正,7JZ-奉化嘉正,500,,,
501,7TA,香港达明,7TA-香港达明,501,,,
502,7WA,宁波威力仕,7WA-宁波威力仕,502,,,
503,7NS,宁波宁塑,7NS-宁波宁塑,503,,,
504,7GY,山东统亚,7GY-山东统亚,504,,,
505,7LT,瑞安力泰,7LT-瑞安力泰,505,,,
506,7HV,宏荣,7HV-宏荣,506,,,
507,7LA,联鑫,7LA-联鑫,507,,,
508,7DL,德利克,7DL-德利克,508,,,
509,7KR,克虏伯,7KR-克虏伯,509,,,
510,7JF,今顺,7JF-今顺,510,,,
511,7NB,宁波塑料,7NB-宁波塑料,511,,,
512,7TL,杭州腾骏,7TL-杭州腾骏,512,,,
513,7LL,无锡蓝力,7LL-无锡蓝力,513,,,
514,7KT,宁波可司曼,7KT-宁波可司曼,514,,,
515,7ST,双盛/圣特龙,7ST-双盛/圣特龙,515,,,
516,7PJ,宝捷,7PJ-宝捷,516,,,
517,7BM,广东步明（正茂）,7BM-广东步明（正茂）,517,,,
518,7XX,宁波雄信,7XX-宁波雄信,518,,,
519,7MG,美格,7MG-美格,519,,,
520,7LZ,江北利源,7LZ-江北利源,520,,,
521,7HZ,宁波海润,7HZ-宁波海润,521,,,
522,7AB,艾必模,7AB-艾必模,522,,,
523,7MJ,铭捷,7MJ-铭捷,523,,,
524,7PR,PARSIAN,7PR-PARSIAN,524,,,
525,7IY,黄元运,7IY-黄元运,525,,,
526,7PZ,潘珠红,7PZ-潘珠红,526,,,
527,7WB,王海民,7WB-王海民,527,,,
528,7BC,义乌恒创,7BC-义乌恒创,528,,,
529,7JK,扬州吉达,7JK-扬州吉达,529,,,
530,7JN,宁波嘉塑,7JN-宁波嘉塑,530,,,
531,7ZC,震海誉,7ZC-震海誉,531,,,
532,7EB,亿塑,7EB-亿塑,532,,,
533,7EM,华美迪,7EM-华美迪,533,,,
534,7FQ,富强鑫,7FQ-富强鑫,534,,,
535,7JP,佳拿达,7JP-佳拿达,535,,,
536,,上海光塑,-上海光塑,536,,,
537,7LB,力维,7LB-力维,537,,,
538,7PA,派瑞特,7PA-派瑞特,538,,,
539,7SC,思必拓,7SC-思必拓,539,,,
540,7SE,双鹰,7SE-双鹰,540,,,
541,7MD,宁波明大,7MD-宁波明大,541,,,
542,7PB,盘石,7PB-盘石,542,,,
543,7BN,博纳,7BN-博纳,543,,,
544,7JQ,今通,7JQ-今通,544,,,
546,7YV,永生,7YV-永生,546,,,
547,7SI,索迪龙,7SI-索迪龙,547,,,
548,7JR,金矶,7JR-金矶,548,,,
549,7MA,铭威,7MA-铭威,549,,,
550,7MW,明广伟业,7MW-明广伟业,550,,,
551,7MB,铭辉,7MB-铭辉,551,,,
552,7TB,勤川,7TB-勤川,552,,,
553,7DK,德库玛,7DK-德库玛,553,,,
554,7JU,广州佳速,7JU-广州佳速,554,,,
555,7XH,新海太,7XH-新海太,555,,,
556,7CZ,宏振,7CZ-宏振,556,,,
557,7AP,海普,7AP-海普,557,,,
558,7YM,张家港意玖,7YM-张家港意玖,558,,,
559,7YA,永安,7YA-永安,559,,,
560,7KA,康力,7KA-康力,560,,,
561,7LQ,力泉,7LQ-力泉,561,,,
562,7WE,维达,7WE-维达,562,,,
563,7YB,伊之密,7YB-伊之密,563,,,
