"*","費用類"
"0","0"
"01","01"
"1","1"
"3","3"
"A","A"
"A1","成套-電控"
"A2","成套-伺服"
"A3","成套-伺服+電控"
"A4","成套-機器人"
"B1","製成品-電控"
"B2","製成品-伺服"
"B4","製成品—電控西安代工"
"B5","製成品—電控海天代工"
"B6","製成品—電控車控代工"
"B7","製成品—新能源3E代工"
"C1","半成品-電控"
"C2","半成品-伺服"
"C3","智慧農業"
"C4","半成品—電控西安代工"
"C5","半成品—電控海天代工"
"C6","半成品—電控車控代工"
"C7","半成品—新能源3E代工"
"D1","原料-電控"
"D2","原料-伺服"
"D3","原料-共用"
"D4","原料—電控西安代工"
"D5","原料—電控海天代工"
"D6","原料—電控車控代工"
"D7","原料—新能源3E代工"
"E1","其它-電控"
"E2","其它-伺服"
"E3","其它-共用"
"INET","注塑機聯網控制系統"
"M","M"
"N","機器人"
